"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Deng W.; Wu T.; Ni Z.; Liu Y.; Jia H.; Ling Q.","Deng, Wenzhe (57732796200); Wu, Tingting (56486410100); Ni, Zhichao (60567407800); Liu, Yajie (60568534700); Jia, Hanyue (59479675600); Ling, Qingping (57223309617)","57732796200; 56486410100; 60567407800; 60568534700; 59479675600; 57223309617","Hyperspectral imaging meets 3D Gaussian Splatting: A novel approach beyond 3D plant morphology","2026","Plant Phenomics","8","2","100198","","","0","10.1016/j.plaphe.2026.100198","https://www.scopus.com/pages/publications/105035237111?origin=resultslist","College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; Shaanxi Key Laboratory of Agricultural Information Perception and Intelligent Service, Yangling, 712100, China; Hainan Institute of Northwest A&F University, Sanya, 572025, China","Deng W., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; Wu T., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China, Shaanxi Key Laboratory of Agricultural Information Perception and Intelligent Service, Yangling, 712100, China, Hainan Institute of Northwest A&F University, Sanya, 572025, China; Ni Z., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; Liu Y., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; Jia H., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; Ling Q., College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China","T. Wu; College of Mechanical and Electronic Engineering, Northwest A&F University, Yangling, 712100, China; email: tt_wu@nwsuaf.edu.cn","","Elsevier B.V.","26436515","","","","English","Plant. Phenomic.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035237111"
"Huang Z.; Cai J.; Yang N.; Li Z.; He Y.; Wei Y.; Wang Z.; Feng X.","Huang, Zhenyu (59288196200); Cai, Jiayi (59935885900); Yang, Ningyuan (58096055400); Li, Zhongren (58539885900); He, Yong (60582070000); Wei, Yuzhen (59769090700); Wang, Zhi (60581840800); Feng, Xuping (57199740164)","59288196200; 59935885900; 58096055400; 58539885900; 60582070000; 59769090700; 60581840800; 57199740164","AELVI-SLAM: LiDAR–visual–inertial SLAM for autonomous exploration in multiple agricultural scenarios","2026","Artificial Intelligence in Agriculture","16","2","","940","957","0","10.1016/j.aiia.2026.03.013","https://www.scopus.com/pages/publications/105036450430?origin=resultslist","College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; School of Information Engineering, Huzhou University, Huzhou, Zhejiang, 313000, China; State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, Zhejiang, 310027, China; The Rural Development Academy, Zhejiang University, Hangzhou, Zhejiang, 310058, China","Huang Z., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; Cai J., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; Yang N., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; Li Z., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; He Y., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China; Wei Y., School of Information Engineering, Huzhou University, Huzhou, Zhejiang, 313000, China; Wang Z., State Key Laboratory of Industrial Control Technology, Zhejiang University, Hangzhou, Zhejiang, 310027, China; Feng X., College of Biosystems Engineering and Food Science, Zhejiang University, Hangzhou, Zhejiang, 310058, China, The Rural Development Academy, Zhejiang University, Hangzhou, Zhejiang, 310058, China","X. Feng; College of Biosystems Engineering and Food Science, Zhejiang University, Zhejiang, Hangzhou, 310058, China; email: fengxp@zju.edu.cn","","KeAi Communications Co.","25897217","","","","English","Artif. Intell. Agric.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036450430"
"Subedi P.B.; Zurqani H.A.","Subedi, Prajwol B. (58194339900); Zurqani, Hamdi A. (57190217177)","58194339900; 57190217177","Assessing UAV imagery and high-resolution LiDAR for tree height estimation: The role of flight speed and image overlap","2026","Science of Remote Sensing","14","","100448","","","0","10.1016/j.srs.2026.100448","https://www.scopus.com/pages/publications/105041894305?origin=resultslist","College of Forestry, Agriculture, and Natural Resources, University of Arkansas at Monticello, 110 University Court, Monticello, 71656, AR, United States; University of Arkansas, Division of Agriculture, Arkansas Forest Resources Center, University of Arkansas System, 110 University Court, Monticello, 71656, AR, United States","Subedi P.B., College of Forestry, Agriculture, and Natural Resources, University of Arkansas at Monticello, 110 University Court, Monticello, 71656, AR, United States; Zurqani H.A., College of Forestry, Agriculture, and Natural Resources, University of Arkansas at Monticello, 110 University Court, Monticello, 71656, AR, United States, University of Arkansas, Division of Agriculture, Arkansas Forest Resources Center, University of Arkansas System, 110 University Court, Monticello, 71656, AR, United States","H.A. Zurqani; University of Arkansas Division of Agriculture, Arkansas Forest Resources Center, University of Arkansas System, Monticello, 110 University Court, 71656, United States; email: Hzurqani@uark.edu","","Elsevier B.V.","26660172","","","","English","Sci. Remote Sens.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105041894305"
"Chen W.; Li X.; Rao L.; Xia X.","Chen, Weiheng (60508465600); Li, Xun (56317250800); Rao, Lei (59963444700); Xia, Xiang (60507735900)","60508465600; 56317250800; 59963444700; 60507735900","TeaNeRF: an integrated 3D visual perception pipeline for tea bud harvesting","2026","Frontiers in Plant Science","17","","1739203","","","0","10.3389/fpls.2026.1739203","https://www.scopus.com/pages/publications/105032844538?origin=resultslist","School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China; Hubei Key Laboratory of Intelligent Robot, Wuhan Institute of Technology, Wuhan, China","Chen W., School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China; Li X., School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China, Hubei Key Laboratory of Intelligent Robot, Wuhan Institute of Technology, Wuhan, China; Rao L., School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China; Xia X., School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China","X. Li; School of Computer Science and Engineering, Wuhan Institute of Technology, Wuhan, China; email: lixun@wit.edu.cn","","Frontiers Media SA","1664462X","","","","English","Front. Plant Sci.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105032844538"
"Pietrzyk P.; Liu S.; Bucksch A.","Pietrzyk, Peter (55921377300); Liu, Suxing (57221351835); Bucksch, Alexander (23097176000)","55921377300; 57221351835; 23097176000","Improving 3D reconstruction quality for root phenotyping: assessing the impact of camera calibration and imaging parameters","2026","Plant Methods","22","1","33","","","1","10.1186/s13007-026-01529-2","https://www.scopus.com/pages/publications/105035501589?origin=resultslist","Department of Plant Biology, University of Georgia, 120 Carlton Street, Athens, 30602, GA, United States; School of Plant Sciences, The University of Arizona, 1140 E South Campus Dr, Tucson, 85721, AZ, United States; BIO5 Institute, 1657 E Helen St, Tucson, 85721, AZ, United States; Georgia State University, Perimeter College, Department of Computer Science & Engineering, 140 Decatur Street SE Atlanta, 30303, GA, United States","Pietrzyk P., Department of Plant Biology, University of Georgia, 120 Carlton Street, Athens, 30602, GA, United States; Liu S., School of Plant Sciences, The University of Arizona, 1140 E South Campus Dr, Tucson, 85721, AZ, United States, Georgia State University, Perimeter College, Department of Computer Science & Engineering, 140 Decatur Street SE Atlanta, 30303, GA, United States; Bucksch A., Department of Plant Biology, University of Georgia, 120 Carlton Street, Athens, 30602, GA, United States, School of Plant Sciences, The University of Arizona, 1140 E South Campus Dr, Tucson, 85721, AZ, United States, BIO5 Institute, 1657 E Helen St, Tucson, 85721, AZ, United States","A. Bucksch; Department of Plant Biology, University of Georgia, Athens, 120 Carlton Street, 30602, United States; email: bucksch@arizona.edu","","BioMed Central Ltd","17464811","","","","English","Plant Methods","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105035501589"
"da Silva M.F.; dos Santos R.C.; Galo M.","da Silva, Matheus Ferreira (57224159432); dos Santos, Renato César (57190032728); Galo, Mauricio (6603115920)","57224159432; 57190032728; 6603115920","Coarse-to-Fine Approach for Tree Point Cloud Registration Based on Relaxation Labeling","2026","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences","10","3/W4-2025","","93","98","0","10.5194/isprs-annals-X-3-W4-2025-93-2026","https://www.scopus.com/pages/publications/105037356908?origin=resultslist","Graduate Program in Cartographic Sciences, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil; Department of Cartography, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil","da Silva M.F., Graduate Program in Cartographic Sciences, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil; dos Santos R.C., Graduate Program in Cartographic Sciences, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil, Department of Cartography, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil; Galo M., Graduate Program in Cartographic Sciences, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil, Department of Cartography, Faculty of Science and Technology, São Paulo State University (UNESP), Presidente Prudente, São Paulo, Brazil","","Santos Ferreira H.; da Costa G.A.O.P.","Copernicus Publications","21949042","","","","English","ISPRS Ann. Photogramm. Remote Sens. Spat. Inf. Sci.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037356908"
"Cotrina-Sanchez A.; Coomes D.A.; Ball J.; Holcomb A.; Valentini R.; Vaglio Laurin G.","Cotrina-Sanchez, Alexander (57218697998); Coomes, David A. (6603900587); Ball, James (56768837500); Holcomb, Amelia (57221153651); Valentini, Riccardo (35410947600); Vaglio Laurin, Gaia (54998393300)","57218697998; 6603900587; 56768837500; 57221153651; 35410947600; 54998393300","The phenology of European forests as seen by MODIS Leaf Area Index and GEDI Plant Area Index: Toward an integrated approach","2026","Forest Ecology and Management","611","","123689","","","1","10.1016/j.foreco.2026.123689","https://www.scopus.com/pages/publications/105032912540?origin=resultslist","Department for Innovation in Biological, Agro-food, and Forestry Systems, Tuscia University, Viterbo, Italy; Conservation Research Institute, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Department of Computer Science, University of Cambridge, Cambridge, United Kingdom; Research Institute on Terrestrial Ecosystems, National Research Council, Montelibretti Research Area, Italy","Cotrina-Sanchez A., Department for Innovation in Biological, Agro-food, and Forestry Systems, Tuscia University, Viterbo, Italy, Conservation Research Institute, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Coomes D.A., Conservation Research Institute, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Ball J., Conservation Research Institute, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Holcomb A., Department of Computer Science, University of Cambridge, Cambridge, United Kingdom; Valentini R., Department for Innovation in Biological, Agro-food, and Forestry Systems, Tuscia University, Viterbo, Italy; Vaglio Laurin G., Research Institute on Terrestrial Ecosystems, National Research Council, Montelibretti Research Area, Italy","G. Vaglio Laurin; Research Institute on Terrestrial Ecosystems, National Research Council, Montelibretti Research Area, Italy; email: gaia.vagliolaurin@cnr.it","","Elsevier B.V.","03781127","","FECMD","","English","For. Ecol. Manage.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105032912540"
"Gou H.; Zhao G.; Dong S.; Lyu S.; Lin C.; Wen J.","Gou, Hao (59726607600); Zhao, Guorui (59426498400); Dong, Shi (59477720600); Lyu, Shenghua (60625577300); Lin, Chen (60625206600); Wen, Jian (57188987423)","59726607600; 59426498400; 59477720600; 60625577300; 60625206600; 57188987423","Real-time estimating 3D pose of tomato fruits using instance segmentation and spatial analysis; [实例分割与空间解析融合的番茄实时三维位姿估计方法]","2026","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","42","2","","185","194","0","10.11975/j.issn.1002-6819.202505251","https://www.scopus.com/pages/publications/105038391566?origin=resultslist","School of Technology, Beijing Forestry University, Beijing, 100083, China; Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China","Gou H., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China; Zhao G., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China; Dong S., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China; Lyu S., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China; Lin C., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China; Wen J., School of Technology, Beijing Forestry University, Beijing, 100083, China, Key Lab of State Forestry and Grassland Administration on Forestry Equipment and Automation, Beijing, 100083, China","J. Wen; School of Technology, Beijing Forestry University, Beijing, 100083, China; email: wenjian@bjfu.edu.cn","","Chinese Society of Agricultural Engineering","10026819","","NGOXE","","Chinese","Nongye Gongcheng Xuebao","Article","Final","","Scopus","2-s2.0-105038391566"
"Shibata K.; Kochi N.; Hamada K.","Shibata, Kohei (60736212100); Kochi, Nobuo (6602217443); Hamada, Kazutoshi (35240074200)","60736212100; 6602217443; 35240074200","Comparison of 3D Point Cloud Acquisition Accuracy in a Large-Scale Japanese Pear Tree Orchard","2026","International Journal of Automation Technology","20","4","","308","319","0","10.20965/ijat.2026.p0308","https://www.scopus.com/pages/publications/105044537171?origin=resultslist","The United Graduate School of Agricultural Science, Ehime University, 3-5-7 Tarumi, Ehime, Matsuyama, 790-8566, Japan; National Agriculture and Food Research Organization, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan; R&D Initiative, Chuo University, Tokyo, Japan; Faculty of Agriculture and Marine Science, Kochi University, 200 Monobe-otsu, Nankoku, Kochi, 783-8502, Japan","Shibata K., The United Graduate School of Agricultural Science, Ehime University, 3-5-7 Tarumi, Ehime, Matsuyama, 790-8566, Japan; Kochi N., National Agriculture and Food Research Organization, 1-13-27 Kasuga, Bunkyo-ku, Tokyo, 112-8551, Japan, R&D Initiative, Chuo University, Tokyo, Japan; Hamada K., Faculty of Agriculture and Marine Science, Kochi University, 200 Monobe-otsu, Nankoku, Kochi, 783-8502, Japan","N. Kochi; National Agriculture and Food Research Organization, Tokyo, 1-13-27 Kasuga, Bunkyo-ku, 112-8551, Japan; email: imageapplabo@kochi.email.ne.jp","","Fuji Technology Press","18817629","","","","English","Int. J. Autom. Technol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105044537171"
"Pu Y.; Zhang W.; Li J.; Zhao L.; Chen Z.; Yang M.","Pu, Yingjun (57189846955); Zhang, Wenzhou (60549126700); Li, Jinguang (59476809900); Zhao, Lijun (57191521088); Chen, Ziwen (55823574900); Yang, Mingjin (7404926634)","57189846955; 60549126700; 59476809900; 57191521088; 55823574900; 7404926634","Locating the pile picking points for green pepper branches using improved U-Net and RGB-D images; [基于改进 U-Net 与 RGB-D 图像的青花椒枝条“下桩”剪切点定位]","2026","Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural Engineering","42","1","","160","170","0","10.11975/j.issn.1002-6819.202505128","https://www.scopus.com/pages/publications/105034473016?origin=resultslist","College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China; National Key Laboratory of Intelligent Agricultural Power Equipment, Luoyang, 471039, China; College of Intelligent and Manufacturing Engineering, Chongqing University of Arts and Sciences, Chongqing, 402160, China","Pu Y., College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China; Zhang W., College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China; Li J., National Key Laboratory of Intelligent Agricultural Power Equipment, Luoyang, 471039, China; Zhao L., College of Intelligent and Manufacturing Engineering, Chongqing University of Arts and Sciences, Chongqing, 402160, China; Chen Z., College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China; Yang M., College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China","M. Yang; College of Engineering and Technology, Southwest University, Chongqing Key Laboratory of Intelligent Agricultural Machinery Equipment for Hilly and Mountainous Regions, Chongqing, 400715, China; email: ymingjin@swu.edu.cn","","Chinese Society of Agricultural Engineering","10026819","","NGOXE","","Chinese","Nongye Gongcheng Xuebao","Article","Final","","Scopus","2-s2.0-105034473016"
