"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Özel A.; Yakşi E.; Çevik Ç.; Nazar M.R.","Özel, Alp (57205153264); Yakşi, Elif (57211130007); Çevik, Çağın (59497267200); Nazar, Mehmet Rahim (60622698200)","57205153264; 57211130007; 59497267200; 60622698200","Why your smartwatch may be misleading your doctor: a cross-sectional study on the impact of mobility aids on wearable accuracy in older adults","2026","PeerJ","14","","e20690","","","0","10.7717/peerj.20690","https://www.scopus.com/pages/publications/105038274139?origin=resultslist","Department of Physiotherapy and Rehabilitation, Bolu Abant Izzet Baysal University, Bolu, Turkey; Department of Physical Therapy and Rehabilitation, Bolu Abant Izzet Baysal University, Bolu, Turkey; Analog Devices Inc., Wilmington, MA, United States; Department of Physiotherapy and Rehabilitation, Medipol University, Istanbul, Turkey","Özel A., Department of Physiotherapy and Rehabilitation, Bolu Abant Izzet Baysal University, Bolu, Turkey; Yakşi E., Department of Physical Therapy and Rehabilitation, Bolu Abant Izzet Baysal University, Bolu, Turkey; Çevik Ç., Analog Devices Inc., Wilmington, MA, United States; Nazar M.R., Department of Physiotherapy and Rehabilitation, Medipol University, Istanbul, Turkey","A. Özel; Department of Physiotherapy and Rehabilitation, Bolu Abant Izzet Baysal University, Bolu, Turkey; email: alpozel@ibu.edu.tr","","PeerJ Inc.","21678359","","","","English","PeerJ","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105038274139"
"He W.; Cao F.; Liu L.; Wang X.","He, Weipeng (60689235800); Cao, Fei (57203755693); Liu, Lipeng (57203112475); Wang, Xiaolong (58884544400)","60689235800; 57203755693; 57203112475; 58884544400","Research on ISRJ Suppression for LFM Signals Based on Frequency-Domain Feature Adaptive Mismatched Filtering","2026","2026 IEEE 8th International Conference on Communications, Information System and Computer Engineering, CISCE 2026","","","","593","599","0","10.1109/CISCE69494.2026.11505003","https://www.scopus.com/pages/publications/105041627494?origin=resultslist","Rocket Force University of Engineering, Graduate School, Xi'an, China; Rocket Force University of Engineering, Nuclear Science and Technology School, Xi'an, China","He W., Rocket Force University of Engineering, Graduate School, Xi'an, China; Cao F., Rocket Force University of Engineering, Nuclear Science and Technology School, Xi'an, China; Liu L., Rocket Force University of Engineering, Graduate School, Xi'an, China; Wang X., Rocket Force University of Engineering, Graduate School, Xi'an, China","L. Liu; Rocket Force University of Engineering, Graduate School, Xi'an, China; email: liulipeng9602@163.com; F. Cao; Rocket Force University of Engineering, Nuclear Science and Technology School, Xi'an, China; email: caofei101@126.com","","Institute of Electrical and Electronics Engineers Inc.","","979-833156042-3","","","English","IEEE Int. Conf. Commun., Inf. Syst. Comput. Eng., CISCE","Conference paper","Final","","Scopus","2-s2.0-105041627494"
"Medeiros H.; Tabb A.; Stewart S.; Leskey T.","Medeiros, Henry (24470208900); Tabb, Amy (8504650400); Stewart, Scott (59753796300); Leskey, Tracy (6602084960)","24470208900; 8504650400; 59753796300; 6602084960","Detecting invasive insects using Uncrewed Aerial Vehicles and Variational AutoEncoders","2025","Computers and Electronics in Agriculture","236","","110362","","","4","10.1016/j.compag.2025.110362","https://www.scopus.com/pages/publications/105003548768?origin=resultslist","Department of Agricultural and Biological Engineering, University of Florida, Gainesville, 32611-0570, FL, United States; United States Department of Agriculture Agricultural Research Service Appalachian Tree Fruit Research Station, 2217 Wiltshire Road, Kearneysville, 25430, WV, United States; Department of Electrical and Computer Engineering, Marquette University, Milwaukee, 53201-1881, WI, United States","Medeiros H., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, 32611-0570, FL, United States; Tabb A., United States Department of Agriculture Agricultural Research Service Appalachian Tree Fruit Research Station, 2217 Wiltshire Road, Kearneysville, 25430, WV, United States; Stewart S., Department of Electrical and Computer Engineering, Marquette University, Milwaukee, 53201-1881, WI, United States; Leskey T., United States Department of Agriculture Agricultural Research Service Appalachian Tree Fruit Research Station, 2217 Wiltshire Road, Kearneysville, 25430, WV, United States","H. Medeiros; Department of Agricultural and Biological Engineering, University of Florida, Gainesville, 32611-0570, United States; email: hmedeiros@ufl.edu","","Elsevier B.V.","01681699","","CEAGE","","English","Comput. Electron. Agric.","Article","Final","","Scopus","2-s2.0-105003548768"
"Santos T.T.","Santos, Thiago Teixeira (16023033200)","16023033200","Multi-Fruit Tracking and 3-D Structure Recovery via CoTracker; [Rastreamento Simultâneo de Frutos e Recuperacção da Estrutura 3-D utilizando CoTracker]","2026","Revista de Informatica Teorica e Aplicada","33","2","","81","88","0","10.22456/2175-2745.150960","https://www.scopus.com/pages/publications/105039304767?origin=resultslist","Embrapa Agricultura Digital, Empresa Brasileira de Pesquisa Agropecu ária (Embrapa), Brazil","Santos T.T., Embrapa Agricultura Digital, Empresa Brasileira de Pesquisa Agropecu ária (Embrapa), Brazil","T.T. Santos; Embrapa Agricultura Digital, Empresa Brasileira de Pesquisa Agropecu ária (Embrapa), Brazil; email: thiago.santos@embrapa.br","","Federal University of Rio Grande do Sul, Institute of Informatics","01034308","","","","English","Rev. Inform. Teorica Aplicada","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105039304767"
"Singh Chouhan S.; Saxena E.; Shukla A.; Kumar Patel R.; Pratap Singh U.","Singh Chouhan, Siddharth (57200530718); Saxena, Esha (60190141700); Shukla, Anju (7202963707); Kumar Patel, Rajneesh (58280799600); Pratap Singh, Uday (56581160200)","57200530718; 60190141700; 7202963707; 58280799600; 56581160200","Optimizing YOLO-Based Models for Real-Time Guava Detection with Probabilistic Fused Wiener Filter-Enhanced Feature Fusion","2025","Applied Fruit Science","67","5","383","","","27","10.1007/s10341-025-01613-2","https://www.scopus.com/pages/publications/105017148026?origin=resultslist","School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Department of Mathematics, Central University of Jammu, Jammu and Kashmir, Jammu, 180001, India","Singh Chouhan S., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Saxena E., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Shukla A., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Kumar Patel R., School of Computing Science and Engineering, VIT Bhopal University, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, Sehore, 466114, India; Pratap Singh U., Department of Mathematics, Central University of Jammu, Jammu and Kashmir, Jammu, 180001, India","R. Kumar Patel; School of Computing Science and Engineering, VIT Bhopal University, Sehore, Bhopal-Indore Highway, Kothrikalan, Madhya Pradesh, 466114, India; email: patelrajneesh90@gmail.com","","Springer Science and Business Media Deutschland GmbH","29482623","","","","English","Appl. Fruit Sci.","Article","Final","","Scopus","2-s2.0-105017148026"
"Liu L.; Wang T.; Ma L.; Chen L.; Zheng Q.","Liu, Lichao (57222499206); Wang, Taojie (59364635700); Ma, Li (59951117000); Chen, Liqing (55739194500); Zheng, Quan (48663287200)","57222499206; 59364635700; 59951117000; 55739194500; 48663287200","UAV Video Combined with Deep Learning for Maize Seedling Counting and Distance Estimation","2025","Lecture Notes in Networks and Systems","1376 LNNS","","","148","162","0","10.1007/978-981-96-5373-7_13","https://www.scopus.com/pages/publications/105008368931?origin=resultslist","College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China","Liu L., College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China; Wang T., College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China; Ma L., College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China; Chen L., College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China; Zheng Q., College of Engineering, Anhui Agricultural University, Anhui, Hefei, 230036, China","Q. Zheng; College of Engineering, Anhui Agricultural University, Hefei, Anhui, 230036, China; email: zhengquan@ahau.edu.cn","Wang H.","Springer Science and Business Media Deutschland GmbH","23673370","978-981965372-0","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-105008368931"
"Yang H.; Song Y.; Ren J.; Xie L.; Chen Y.","Yang, Huimin (57209687010); Song, Yongjun (55484679000); Ren, Jianxi (7403083382); Xie, Lijun (58806701800); Chen, Yiqian (58994871700)","57209687010; 55484679000; 7403083382; 58806701800; 58994871700","Study of the evolution of characteristic parameters and damage mechanism of sandstone under the synergistic effects of F-T and stepped cyclic loading-unloading via real-time CT scanning and AE monitoring","2025","Measurement: Journal of the International Measurement Confederation","256","","118078","","","11","10.1016/j.measurement.2025.118078","https://www.scopus.com/pages/publications/105007715668?origin=resultslist","School of Architecture and Civil Engineering, Xi'an University of Science and Technology, Shaanxi, Xi'an, 710054, China; China Metallurgical Group Northwest Geotechnical Engineering Co., Ltd., Shaanxi, Xi'an, 710061, China; Department of Civil Engineering, School of Human Settlements and Civil Engineering, Xi'an Jiaotong University, Shaanxi, Xi'an, 710049, China","Yang H., School of Architecture and Civil Engineering, Xi'an University of Science and Technology, Shaanxi, Xi'an, 710054, China; Song Y., School of Architecture and Civil Engineering, Xi'an University of Science and Technology, Shaanxi, Xi'an, 710054, China; Ren J., School of Architecture and Civil Engineering, Xi'an University of Science and Technology, Shaanxi, Xi'an, 710054, China; Xie L., China Metallurgical Group Northwest Geotechnical Engineering Co., Ltd., Shaanxi, Xi'an, 710061, China; Chen Y., Department of Civil Engineering, School of Human Settlements and Civil Engineering, Xi'an Jiaotong University, Shaanxi, Xi'an, 710049, China","Y. Song; School of Architecture and Civil Engineering, Xi'an University of Science and Technology, Xi'an, Shaanxi, 710054, China; email: songyj79@xust.edu.cn","","Elsevier B.V.","02632241","","MSRMD","","English","Meas J Int Meas Confed","Article","Final","","Scopus","2-s2.0-105007715668"
"Koob B.; Stipek C.; Sorokine A.; Mneimneh M.; Singh N.","Koob, Benjamin (60262809300); Stipek, Clinton (59260567100); Sorokine, Alexandre (16176633600); Mneimneh, Mohamed (60262450400); Singh, Nagendra (57194114133)","60262809300; 59260567100; 16176633600; 60262450400; 57194114133","Data-Driven Clustering and Classification of Outage Patterns with Insights into their Links to Extreme Events","2025","URBANAI 2025 - Proceedings of the 3rd ACM SIGSPATIAL International Workshop on Advances in UrbanAI","","","","17","26","0","10.1145/3764926.3771940","https://www.scopus.com/pages/publications/105026271645?origin=resultslist","Oak Ridge National Laboratory, Oak Ridge, TN, United States; SAP, Tempe, AZ, United States","Koob B., Oak Ridge National Laboratory, Oak Ridge, TN, United States; Stipek C., Oak Ridge National Laboratory, Oak Ridge, TN, United States; Sorokine A., Oak Ridge National Laboratory, Oak Ridge, TN, United States; Mneimneh M., SAP, Tempe, AZ, United States; Singh N., Oak Ridge National Laboratory, Oak Ridge, TN, United States","","Niu H.; Xue H.; Zhao L.; Omitaomu F.","Association for Computing Machinery, Inc","","979-840072189-2","","","English","URBANAI - Proc. ACM SIGSPATIAL Int. Workshop Adv. UrbanAI","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105026271645"
"Figorilli S.; Violino S.; Vasta S.; Pallottino F.; Manca G.; Bianchi L.; Costa C.","Figorilli, Simone (55192443300); Violino, Simona (57209605951); Vasta, Simone (57216764819); Pallottino, Federico (16031753700); Manca, Giorgio (59396909600); Bianchi, Lorenzo (58159184800); Costa, Corrado (23105352100)","55192443300; 57209605951; 57216764819; 16031753700; 59396909600; 58159184800; 23105352100","Bibliometric Analysis on Control Architectures for Robotics in Agriculture","2026","Robotics","15","4","75","","","0","10.3390/robotics15040075","https://www.scopus.com/pages/publications/105037215620?origin=resultslist","Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy; Dipartimento di Ingegneria Civile e Ingegneria Informatica, Università di Roma Tor Vergata, Via del Politecnico 1, Rome, 00133, Italy","Figorilli S., Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy; Violino S., Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy; Vasta S., Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy; Pallottino F., Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy; Manca G., Dipartimento di Ingegneria Civile e Ingegneria Informatica, Università di Roma Tor Vergata, Via del Politecnico 1, Rome, 00133, Italy; Bianchi L., Dipartimento di Ingegneria Civile e Ingegneria Informatica, Università di Roma Tor Vergata, Via del Politecnico 1, Rome, 00133, Italy; Costa C., Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Via Della Pascolare 16, Monterotondo, 00015, Italy","S. Figorilli; Consiglio per la Ricerca in Agricoltura e l’Analisi dell’Economia Agraria (CREA), Centro di Ricerca Ingegneria e Trasformazioni Agroalimentari, Monterotondo, Via Della Pascolare 16, 00015, Italy; email: simone.figorilli@crea.gov.it","","Multidisciplinary Digital Publishing Institute (MDPI)","22186581","","","","English","Robotics","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105037215620"
"Li Z.; Xu R.; Li C.; Munoz P.; Takeda F.; Leme B.","Li, Zhengkun (57880517400); Xu, Rui (56574594100); Li, Changying (57203273426); Munoz, Patricio (59157683700); Takeda, Fumiomi (7103100927); Leme, Bruno (57197868391)","57880517400; 56574594100; 57203273426; 59157683700; 7103100927; 57197868391","In-field blueberry fruit phenotyping with a MARS-PhenoBot and customized BerryNet","2025","Computers and Electronics in Agriculture","232","","110057","","","30","10.1016/j.compag.2025.110057","https://www.scopus.com/pages/publications/85217036844?origin=resultslist","Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Horticultural Science Department, University of Florida, Gainesville, FL, United States; Berry Innovation LLC, Scottsdale, AZ, United States","Li Z., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Xu R., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Li C., Department of Agricultural and Biological Engineering, University of Florida, Gainesville, FL, United States; Munoz P., Horticultural Science Department, University of Florida, Gainesville, FL, United States; Takeda F., Berry Innovation LLC, Scottsdale, AZ, United States; Leme B., Horticultural Science Department, University of Florida, Gainesville, FL, United States","C. Li; Department of Agricultural and Biological Engineering, University of Florida, Gainesville, United States; email: cli2@ufl.edu","","Elsevier B.V.","01681699","","CEAGE","","English","Comput. Electron. Agric.","Article","Final","","Scopus","2-s2.0-85217036844"
