"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Yellanki V.S.; Gunda S.V.B.; Kalakonda G.R.; Kumar G.M.; Kumar C.H.","Yellanki, V. Sahiti (58675074900); Gunda, Sai Vardhan Babu (60728937100); Kalakonda, Geethika Rao (60728823600); Kumar, Golivi Manoj (60728590000); Kumar, Cherukuri Hemanth (60728526900)","58675074900; 60728937100; 60728823600; 60728590000; 60728526900","A Novel Deep Learning Approach to Predict the Disease in Tomato Leaf with Bounding Box","2026","Lecture Notes in Networks and Systems","1990 LNNS","","","271","287","0","10.1007/978-3-032-26908-9_25","https://www.scopus.com/pages/publications/105044129511?origin=resultslist","Department of AIML & IoT, VNRVJIET, Hyderabad, India","Yellanki V.S., Department of AIML & IoT, VNRVJIET, Hyderabad, India; Gunda S.V.B., Department of AIML & IoT, VNRVJIET, Hyderabad, India; Kalakonda G.R., Department of AIML & IoT, VNRVJIET, Hyderabad, India; Kumar G.M., Department of AIML & IoT, VNRVJIET, Hyderabad, India; Kumar C.H., Department of AIML & IoT, VNRVJIET, Hyderabad, India","V.S. Yellanki; Department of AIML & IoT, VNRVJIET, Hyderabad, India; email: sahiti_y@vnrvjiet.in","Senjyu T.; Mahmud M.; Joshi A.","Springer Science and Business Media Deutschland GmbH","23673370","978-303226907-2","","","English","Lect. Notes Networks Syst.","Conference paper","Final","","Scopus","2-s2.0-105044129511"
"Chen D.; Shi Y.; Zhang S.; Huang J.; Zhang J.","Chen, Dongmei (57203235632); Shi, Yimiao (60744347900); Zhang, Shaopeng (60744832600); Huang, Jun (60744832700); Zhang, Jingcheng (36007814000)","57203235632; 60744347900; 60744832600; 60744832700; 36007814000","Double-stage insect recognition model based on synergistic localization of key parts","2026","Frontiers in Plant Science","17","","1854371","","","0","10.3389/fpls.2026.1854371","https://www.scopus.com/pages/publications/105044864849?origin=resultslist","School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China; Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou, China","Chen D., School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China; Shi Y., School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China; Zhang S., School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China; Huang J., Institute of Plant Protection and Microbiology, Zhejiang Academy of Agricultural Sciences, Hangzhou, China; Zhang J., School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China","J. Zhang; School of Artificial Intelligence, Hangzhou Dianzi University, Hangzhou, China; email: zhangjcrs@hdu.edu.cn","","Frontiers Media SA","1664462X","","","","English","Front. Plant Sci.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105044864849"
"Kumar D.; Kukreja V.; Al-Sarem M.; Bhardwaj V.","Kumar, Deepak (57202478164); Kukreja, Vinay (49661773100); Al-Sarem, Mohammed (43461087100); Bhardwaj, Vivek (57219288783)","57202478164; 49661773100; 43461087100; 57219288783","CaiT-YOLOv9s-CBAM Deep Learning Model for Wheat Fungal Diseases: In-Depth Multifaceted Approach for Feature Refinement, Localization and Recognition","2026","SN Computer Science","7","3","274","","","0","10.1007/s42979-026-04857-1","https://www.scopus.com/pages/publications/105033848424?origin=resultslist","Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, Rajpura, India; Centre for Research Impact & Outcome, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, Rajpura, India; Department of Information Technology, Aylol University College, Yarim, 547, Yemen; Department of Computer Science and Engineering, Amity University Punjab, Punjab, Mohali, India","Kumar D., Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, Rajpura, India; Kukreja V., Centre for Research Impact & Outcome, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, Rajpura, India; Al-Sarem M., Department of Information Technology, Aylol University College, Yarim, 547, Yemen; Bhardwaj V., Department of Computer Science and Engineering, Amity University Punjab, Punjab, Mohali, India","V. Bhardwaj; Department of Computer Science and Engineering, Amity University Punjab, Mohali, Punjab, India; email: Vivek.bhardwaj@outlook.in","","Springer","2662995X","","","","English","SN COMPUT. SCI.","Article","Final","","Scopus","2-s2.0-105033848424"
"Díaz-Pérez J.C.; Kabir Y.; Bashyal M.; Bautista J.; Gunawan G.; Núñez-Ramírez F.","Díaz-Pérez, Juan Carlos (7007007057); Kabir, Yamin (60639155200); Bashyal, Mamata (58882224300); Bautista, Jesús (55918132600); Gunawan, Guna (60638728700); Núñez-Ramírez, Fidel (54409227700)","7007007057; 60639155200; 58882224300; 55918132600; 60638728700; 54409227700","Influence of shading on growth, physiological responses and yield of field-grown Habanero chili (Capsicum chinense Jacq.)","2026","Agriculture and Natural Resources","60","1","600107","","","0","10.34044/j.anres.2026.60.1.07","https://www.scopus.com/pages/publications/105039279360?origin=resultslist","Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States; Agrotechnology Discipline, Khulna University, Khulna, 9208, Bangladesh; University of Massachusetts, Amherst, 01002, MA, United States; Instituto de Ciencias Agrícolas, Universidad Autónoma de Baja California (ICA-UACB), Carretera a Delta s/n Ejido Nuevo León, Baja California, 21705, Mexico","Díaz-Pérez J.C., Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States; Kabir Y., Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States, Agrotechnology Discipline, Khulna University, Khulna, 9208, Bangladesh; Bashyal M., Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States, University of Massachusetts, Amherst, 01002, MA, United States; Bautista J., Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States; Gunawan G., Department of Horticulture, University of Georgia, 2360 Rainwater Road, Tifton, 31793-0748, GA, United States; Núñez-Ramírez F., Instituto de Ciencias Agrícolas, Universidad Autónoma de Baja California (ICA-UACB), Carretera a Delta s/n Ejido Nuevo León, Baja California, 21705, Mexico","J.C. Díaz-Pérez; Department of Horticulture, University of Georgia, Tifton, 2360 Rainwater Road, 31793-0748, United States; email: jcdiaz@uga.edu","","Kasetsart University","24681458","","","","English","Agric. Nat. Resour.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105039279360"
"Liu M.; Deng S.","Liu, Mo (60731323100); Deng, Siwen (60731114500)","60731323100; 60731114500","Lightweight Tomato Leaf Disease Detection via YOLO26 with MobileNetV4 Backbone and SimAM Attention","2026","2026 International Conference on Sensor-Cloud and Edge Computing System, SCECS 2026","","","","144","148","0","10.1109/SCECS69812.2026.11565832","https://www.scopus.com/pages/publications/105044072416?origin=resultslist","Hebei University of Technology, Tianjin, China","Liu M., Hebei University of Technology, Tianjin, China; Deng S., Hebei University of Technology, Tianjin, China","M. Liu; Hebei University of Technology, Tianjin, China; email: 2123775532@qq.com","","Institute of Electrical and Electronics Engineers Inc.","","979-831951983-2","","","English","Int. Conf. Sens.-Cloud Edge Comput. Syst., SCECS","Conference paper","Final","","Scopus","2-s2.0-105044072416"
"Wang W.; Xie H.; Jiang W.; Li H.; Qian C.","Wang, Wenkun (60653341800); Xie, Hui (58746965300); Jiang, Wujin (58000316900); Li, Hongbing (36651115600); Qian, Chutian (60653778100)","60653341800; 58746965300; 58000316900; 36651115600; 60653778100","Lightweight citrus maturity detection algorithm with hybrid attention fusion; [融合混合注意力的轻量化柑橘成熟度检测算法]","2026","Chinese Journal of Liquid Crystals and Displays","41","4","","549","564","1","10.37188/CJLCD.2026-0039","https://www.scopus.com/pages/publications/105040134611?origin=resultslist","School of Electronic and Information Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; School of Computer Science and Engineering, Chongqing Three Gorges University, Chongqing, 404100, China","Wang W., School of Electronic and Information Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; Xie H., School of Electronic and Information Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; Jiang W., School of Computer Science and Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; Li H., School of Computer Science and Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; Qian C., School of Electronic and Information Engineering, Chongqing Three Gorges University, Chongqing, 404100, China","H. Xie; School of Electronic and Information Engineering, Chongqing Three Gorges University, Chongqing, 404100, China; email: 20030041@sanxiau.edu.cn","","Science Press","10072780","","","","Chinese","Chin. J. Liq. Crystal. Disp.","Article","Final","","Scopus","2-s2.0-105040134611"
"Natesan P.; Gothai E.; Manimaran A.; Neeleshwar K.; Rahul K.; Kumar P.R.","Natesan, P. (56829436200); Gothai, E. (37090553800); Manimaran, A. (57209475800); Neeleshwar, K. (60609109800); Rahul, K. (60145512500); Kumar, P. Ranjith (60609613100)","56829436200; 37090553800; 57209475800; 60609109800; 60145512500; 60609613100","Skin Lesion Classification for Diverse Skin Tones Using Generative AI and YOLO","2026","2026 2nd International Conference on Intelligent Systems for Communication, IoT and Security, ICISCoIS 2026","","","","","","0","10.1109/ICISCoIS62701.2026.11447645","https://www.scopus.com/pages/publications/105037467408?origin=resultslist","Kongu Engineering College, Department of Artificial Intelligence and Data Science, Perundurai, Tamilnadu, Erode, India; Kongu Engineering College, Department of Computer Science and Engineering, Perundurai, Tamilnadu, Erode, India; Kongu Engineering College, Department of Mathematics, Perundurai, Tamilnadu, Erode, India","Natesan P., Kongu Engineering College, Department of Artificial Intelligence and Data Science, Perundurai, Tamilnadu, Erode, India; Gothai E., Kongu Engineering College, Department of Computer Science and Engineering, Perundurai, Tamilnadu, Erode, India; Manimaran A., Kongu Engineering College, Department of Mathematics, Perundurai, Tamilnadu, Erode, India; Neeleshwar K., Kongu Engineering College, Department of Artificial Intelligence and Data Science, Perundurai, Tamilnadu, Erode, India; Rahul K., Kongu Engineering College, Department of Artificial Intelligence and Data Science, Perundurai, Tamilnadu, Erode, India; Kumar P.R., Kongu Engineering College, Department of Artificial Intelligence and Data Science, Perundurai, Tamilnadu, Erode, India","","","Institute of Electrical and Electronics Engineers Inc.","","979-833154596-3","","","English","Int. Conf. Intell. Syst. for Commun., IoT Secur., ICISCoIS","Conference paper","Final","","Scopus","2-s2.0-105037467408"
"Morshed M.S.J.; Adnan N.; Islam R.","Morshed, Muhammad Sarwar Jahan (60226234400); Adnan, Nasim (57202148561); Islam, Rafiqul (59284733800)","60226234400; 57202148561; 59284733800","Comparative Analysis of Classical Feature Detection Methods for UAV-Based Tomato Detection","2025","Journal of Computer Science","21","9","","2153","2170","0","10.3844/jcssp.2025.2153.2170","https://www.scopus.com/pages/publications/105023987230?origin=resultslist","Department of Computer Science and Engineering, Jashore University of Science and Technology, Jashore, Bangladesh; Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh","Morshed M.S.J., Department of Computer Science and Engineering, Jashore University of Science and Technology, Jashore, Bangladesh; Adnan N., Department of Computer Science and Engineering, Jashore University of Science and Technology, Jashore, Bangladesh; Islam R., Department of Computer Science, American International University-Bangladesh, Dhaka, Bangladesh","M.S.J. Morshed; Department of Computer Science and Engineering, Jashore University of Science and Technology, Jashore, Bangladesh; email: p220102.cse@student.just.edu.bd","","Science Publications","15493636","","","","English","J. Comput. Sci.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105023987230"
"Yuan L.; Wang F.","Yuan, Lijun (60227548700); Wang, Fang (56661427700)","60227548700; 56661427700","MSTA-YOLOv11: an improved detection model for maize pests and diseases under complex scenes","2026","Journal of Real-Time Image Processing","23","1","22","","","0","10.1007/s11554-025-01821-9","https://www.scopus.com/pages/publications/105024066416?origin=resultslist","School of Science, Yanshan University, Hebei, Qinhuangdao, 066004, China","Yuan L., School of Science, Yanshan University, Hebei, Qinhuangdao, 066004, China; Wang F., School of Science, Yanshan University, Hebei, Qinhuangdao, 066004, China","F. Wang; School of Science, Yanshan University, Qinhuangdao, Hebei, 066004, China; email: wangfang@ysu.edu.cn","","Springer Nature","18618200","","","","English","J. Real-Time Image Process.","Article","Final","","Scopus","2-s2.0-105024066416"
"Patil J.M.; Raikar M.M.; Muttal C.; Patil P.B.","Patil, Jyothi M (60602167400); Raikar, Meenaxi M (57044726000); Muttal, Channabasappa (59707568800); Patil, Pooja B (60601949200)","60602167400; 57044726000; 59707568800; 60601949200","Fomo Based Brinjal Quality Assessment Using Edge Ai Model for Smart Agricultural Automation","2026","Proceedings of the 4th International Conference on Intelligent Data Communication Technologies and Internet of Things, IDCioT 2026","","","","1672","1677","0","10.1109/IDCIoT67589.2026.11455802","https://www.scopus.com/pages/publications/105036989419?origin=resultslist","KLE Technological University, Vidyanagar, Hubballi, 580031, India","Patil J.M., KLE Technological University, Vidyanagar, Hubballi, 580031, India; Raikar M.M., KLE Technological University, Vidyanagar, Hubballi, 580031, India; Muttal C., KLE Technological University, Vidyanagar, Hubballi, 580031, India; Patil P.B., KLE Technological University, Vidyanagar, Hubballi, 580031, India","M.M. Raikar; KLE Technological University, Vidyanagar, Hubballi, 580031, India; email: mmraikar@kletech.ac.in","","Institute of Electrical and Electronics Engineers Inc.","","979-833159654-5","","","English","Proc. Int. Conf. Intell. Data Commun. Technol. Internet Things, IDCioT","Conference paper","Final","","Scopus","2-s2.0-105036989419"
