"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Navone A.; Martini M.; Chiaberge M.","Navone, Alessandro (58165033700); Martini, Mauro (57223825516); Chiaberge, Marcello (7003345054)","58165033700; 57223825516; 7003345054","Autonomous robotic pruning in orchards and vineyards: A review","2025","Smart Agricultural Technology","12","","101283","","","12","10.1016/j.atech.2025.101283","https://www.scopus.com/pages/publications/105012896653?origin=resultslist","Department of Electronics and Telecommunications, Politecnico di Torino, Corso Duca degli Abruzzi 24, TO, Torino, 10129, Italy; PIC4SeR, Politecnico di Torino, Interdepartmental Center for Service Robotics, Corso Ferrucci 112, TO, Torino, 10141, Italy","Navone A., Department of Electronics and Telecommunications, Politecnico di Torino, Corso Duca degli Abruzzi 24, TO, Torino, 10129, Italy, PIC4SeR, Politecnico di Torino, Interdepartmental Center for Service Robotics, Corso Ferrucci 112, TO, Torino, 10141, Italy; Martini M., Department of Electronics and Telecommunications, Politecnico di Torino, Corso Duca degli Abruzzi 24, TO, Torino, 10129, Italy, PIC4SeR, Politecnico di Torino, Interdepartmental Center for Service Robotics, Corso Ferrucci 112, TO, Torino, 10141, Italy; Chiaberge M., Department of Electronics and Telecommunications, Politecnico di Torino, Corso Duca degli Abruzzi 24, TO, Torino, 10129, Italy, PIC4SeR, Politecnico di Torino, Interdepartmental Center for Service Robotics, Corso Ferrucci 112, TO, Torino, 10141, Italy","A. Navone; Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Corso Duca degli Abruzzi 24, TO, 10129, Italy; email: alessandro.navone@polito.it","","Elsevier B.V.","27723755","","","","English","Smart Agric. Technol.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105012896653"
"Frimpong S.A.; Han M.; Zheng W.; Li X.; Akpaku E.; Obeng A.P.","Frimpong, Samuel Akwasi (57198428293); Han, Mu (36496739000); Zheng, Wenyi (54386225200); Li, Xiaowei (57195577484); Akpaku, Ernest (58867011400); Obeng, Ama Pokuah (58949875300)","57198428293; 36496739000; 54386225200; 57195577484; 58867011400; 58949875300","Machine and Deep Learning in Agricultural Engineering: A Comprehensive Survey and Meta-Analysis of Techniques, Applications, and Challenges","2025","Computers","14","10","438","","","6","10.3390/computers14100438","https://www.scopus.com/pages/publications/105020197510?origin=resultslist","School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; Department of Computer Engineering, Ghana Communication Technology University, PMB 100, Accra-North, Accra, Ghana; Department of Computer Science, Kumasi Technical University, P.O. Box 854, Kumasi, Ghana","Frimpong S.A., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China, Department of Computer Engineering, Ghana Communication Technology University, PMB 100, Accra-North, Accra, Ghana; Han M., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; Zheng W., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; Li X., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; Akpaku E., School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; Obeng A.P., Department of Computer Science, Kumasi Technical University, P.O. Box 854, Kumasi, Ghana","M. Han; School of Computer Science and Communication Engineering, Jiangsu University, Zhenjiang, 212013, China; email: hanmu@ujs.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","2073431X","","","","English","Comput.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105020197510"
"Hashemi M.G.Z.; Jalilvand E.; Alemohammad H.; Tan P.-N.; Das N.N.","Hashemi, Mahya G.Z. (57927723200); Jalilvand, Ehsan (57203727025); Alemohammad, Hamed (56165150100); Tan, Pang-Ning (7201942118); Das, Narendra N. (59378330400)","57927723200; 57203727025; 56165150100; 7201942118; 59378330400","Review of synthetic aperture radar with deep learning in agricultural applications","2024","ISPRS Journal of Photogrammetry and Remote Sensing","218","","","20","49","49","10.1016/j.isprsjprs.2024.08.018","https://www.scopus.com/pages/publications/85203457807?origin=resultslist","Department of Civil and Environmental Engineering, Michigan State University, Michigan, 48824, MI, United States; Hydrological Science Laboratory, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States; Science Applications International Corporation, Reston, 22102, VA, United States; Center for Geospatial Analytics, Clark University, Worcester, 01610, MA, United States; Department of Computer Science & Engineering, Michigan State University, Michigan, 48824, MI, United States; Department of Biosystem and Agricultural Engineering, Michigan State University, Michigan, 48824, MI, United States","Hashemi M.G.Z., Department of Civil and Environmental Engineering, Michigan State University, Michigan, 48824, MI, United States; Jalilvand E., Hydrological Science Laboratory, NASA Goddard Space Flight Center, Greenbelt, 20771, MD, United States, Science Applications International Corporation, Reston, 22102, VA, United States; Alemohammad H., Center for Geospatial Analytics, Clark University, Worcester, 01610, MA, United States; Tan P.-N., Department of Computer Science & Engineering, Michigan State University, Michigan, 48824, MI, United States; Das N.N., Department of Civil and Environmental Engineering, Michigan State University, Michigan, 48824, MI, United States, Department of Biosystem and Agricultural Engineering, Michigan State University, Michigan, 48824, MI, United States","","","Elsevier B.V.","09242716","","IRSEE","","English","ISPRS J. Photogramm. Remote Sens.","Article","Final","","Scopus","2-s2.0-85203457807"
"George R.; Thuseethan S.; Ragel R.G.; Mahendrakumaran K.; Nimishan S.; Wimalasooriya C.; Alazab M.","George, Romiyal (58927195700); Thuseethan, Selvarajah (56609246300); Ragel, Roshan G. (10045573200); Mahendrakumaran, Kayathiri (57254973700); Nimishan, Sivaraj (57215350229); Wimalasooriya, Chathrie (57383687500); Alazab, Mamoun (36661792200)","58927195700; 56609246300; 10045573200; 57254973700; 57215350229; 57383687500; 36661792200","Past, present and future of deep plant leaf disease recognition: A survey","2025","Computers and Electronics in Agriculture","234","","110128","","","48","10.1016/j.compag.2025.110128","https://www.scopus.com/pages/publications/86000725495?origin=resultslist","Department of Computer Engineering, University of Peradeniya, Sri Lanka; Faculty of Science and Technology, Charles Darwin University, Australia; Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; School of Computing, University of Otago, New Zealand","George R., Department of Computer Engineering, University of Peradeniya, Sri Lanka; Thuseethan S., Faculty of Science and Technology, Charles Darwin University, Australia; Ragel R.G., Department of Computer Engineering, University of Peradeniya, Sri Lanka; Mahendrakumaran K., Department of Computer Science and Engineering, University of Moratuwa, Sri Lanka; Nimishan S., Department of Computer Engineering, University of Peradeniya, Sri Lanka; Wimalasooriya C., School of Computing, University of Otago, New Zealand; Alazab M., Faculty of Science and Technology, Charles Darwin University, Australia","R. George; Department of Computer Engineering, University of Peradeniya, Sri Lanka; email: romiyalg@eng.pdn.ac.lk","","Elsevier B.V.","01681699","","CEAGE","","English","Comput. Electron. Agric.","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-86000725495"
"Nordin M.E.; Misro M.Y.","Nordin, Mohamad Ekram (58704370000); Misro, Md Yushalify (57194782898)","58704370000; 57194782898","A Systematic Literature Review of Palm Oil Maturity Detection via Deep Learning Approaches; [Sorotan Kajian Sistematik Berkenaan Pengesanan Kematangan Kelapa Sawit Melalui Pendekatan Pembelajaran Mendalam]","2026","Asia-Pacific Journal of Information Technology and Multimedia","15","1","","251","261","0","10.17576/apjitm-2026-1501-15","https://www.scopus.com/pages/publications/105043212270?origin=resultslist","School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia","Nordin M.E., School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia; Misro M.Y., School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia","M.Y. Misro; School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia; email: yushalify@usm.my","","Penerbit Universiti Kebangsaan Malaysia","22892192","","","","English","Asia. Pac. J. Inf. Technol. Multimed.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043212270"
"Zhi X.; Mao S.; Han Y.; Li Y.","Zhi, Xiaoyu (56226536400); Mao, Shuchun (36189977400); Han, Yingchun (55489284300); Li, Yabing (36340030100)","56226536400; 36189977400; 55489284300; 36340030100","Digital and intelligent cotton: A review of artificial intelligence technologies for closed-loop management across the entire growth cycle; [数 智 棉 花 ：全 生 育 期 闭 环 管 理 的 人 工 智 能 技 术 综 述]","2026","Journal of China Agricultural University","31","9","","51","68","0","10.11841/j.issn.1007-4333.2026.09.05","https://www.scopus.com/pages/publications/105045405138?origin=resultslist","State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China","Zhi X., State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China; Mao S., State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China; Han Y., State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China; Li Y., State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China","Y. Li; State Key Laboratory of Cotton Bio-breeding and Integrated Utilization, Institute of Cotton Research of CAAS, Anyang, 455000, China; email: liyabing@caas.cn","","China Agricultural University","10074333","","","","Chinese","J. China Agric. Univ.","Article","Final","","Scopus","2-s2.0-105045405138"
"Karanam S.R.; Pradeep Kumar A.B.; Yandrapati P.B.; Tangudu N.; Peddada N.; Bollipelly P.G.","Karanam, Santoshachandra Rao (57224941804); Pradeep Kumar, A.B. (59301495700); Yandrapati, Prakash babu (57200203797); Tangudu, Naresh (58164531300); Peddada, Nagamani (59301294800); Bollipelly, PruthviRaj Goud (57861591500)","57224941804; 59301495700; 57200203797; 58164531300; 59301294800; 57861591500","A Systematic Review: How Computer Vision is Transforming Agriculture in Economic Growth","2024","Communications in Computer and Information Science","2127 CCIS","","","229","244","2","10.1007/978-3-031-68617-7_17","https://www.scopus.com/pages/publications/85202300771?origin=resultslist","CSE Department, GITAM (Deemed to be University), Hyderabad, India; CSD & MCA Department, Aditya Institute of Technology and Management, Tekkali, Srikakulam, India; IT Department, Anurag University, Hyderabad, India","Karanam S.R., CSE Department, GITAM (Deemed to be University), Hyderabad, India; Pradeep Kumar A.B., CSE Department, GITAM (Deemed to be University), Hyderabad, India; Yandrapati P.B., CSE Department, GITAM (Deemed to be University), Hyderabad, India; Tangudu N., CSD & MCA Department, Aditya Institute of Technology and Management, Tekkali, Srikakulam, India; Peddada N., IT Department, Anurag University, Hyderabad, India; Bollipelly P.G., IT Department, Anurag University, Hyderabad, India","S.R. Karanam; CSE Department, GITAM (Deemed to be University), Hyderabad, India; email: kschandra.rao@gmail.com","K H.; Rodriguez R.V.; Rege M.; Piuri V.; Xu G.; Ong K.-L.","Springer Science and Business Media Deutschland GmbH","18650929","978-303168616-0","","","English","Commun. Comput. Info. Sci.","Conference paper","Final","","Scopus","2-s2.0-85202300771"
"Lakshman M.; Kumar T.B.","Lakshman, Manikala (59670118300); Kumar, T. Bharath (57222536219)","59670118300; 57222536219","Advances in Machine Learning and Deep Learning for Plant Disease Detection: A Comprehensive Review","2025","3rd International Conference on Emerging Applications of Material Science and Technology, ICEAMST 2025","","","","1310","1314","1","10.1109/ICEAMST67459.2025.11336085","https://www.scopus.com/pages/publications/105033551658?origin=resultslist","School of CS & AI, SR University, Telangana, Warangal, 506371, India","Lakshman M., School of CS & AI, SR University, Telangana, Warangal, 506371, India; Kumar T.B., School of CS & AI, SR University, Telangana, Warangal, 506371, India","M. Lakshman; School of CS & AI, SR University, Warangal, Telangana, 506371, India; email: manikalalakshman69@gmail.com","","Institute of Electrical and Electronics Engineers Inc.","","979-833158707-9","","","English","Int. Conf. Emerg. Applic. Material Sci. Technol., ICEAMST","Conference paper","Final","","Scopus","2-s2.0-105033551658"
"Siregar R.R.A.; Seminar K.B.; Wahjuni S.; Santosa E.","Siregar, Riki Ruli A. (57202588949); Seminar, Kudang Boro (54897890200); Wahjuni, Sri (6504454371); Santosa, Edi (8790748700)","57202588949; 54897890200; 6504454371; 8790748700","Vertical Farming Perspectives in Support of Precision Agriculture Using Artificial Intelligence: A Review","2022","Computers","11","9","135","","","92","10.3390/computers11090135","https://www.scopus.com/pages/publications/85138741639?origin=resultslist","Department of Computer Science, IPB University Indonesia, Bogor, 16680, Indonesia; Department of Agricultural Technology, IPB University Indonesia, Bogor, 16680, Indonesia; Department of Agronomy and Horticulture, Faculty of Agriculture, IPB University Indonesia, Bogor, 16680, Indonesia","Siregar R.R.A., Department of Computer Science, IPB University Indonesia, Bogor, 16680, Indonesia; Seminar K.B., Department of Agricultural Technology, IPB University Indonesia, Bogor, 16680, Indonesia; Wahjuni S., Department of Computer Science, IPB University Indonesia, Bogor, 16680, Indonesia; Santosa E., Department of Agronomy and Horticulture, Faculty of Agriculture, IPB University Indonesia, Bogor, 16680, Indonesia","K.B. Seminar; Department of Agricultural Technology, IPB University Indonesia, Bogor, 16680, Indonesia; email: kseminar@apps.ipb.ac.id","","MDPI","2073431X","","","","English","Comput.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85138741639"
"Wang H.; Zhao J.; Zhang S.; Yao M.; Xue L.; Li D.","Wang, Haihua (55688987600); Zhao, Jiayin (59349119000); Zhang, Shulong (59679306100); Yao, Mingyuan (58929651000); Xue, Lin (54793810700); Li, Daoliang (12800336700)","55688987600; 59349119000; 59679306100; 58929651000; 54793810700; 12800336700","Image-Based, 3D reconstruction for smart farming Applications: A review","2026","Computers and Electronics in Agriculture","248","","111828","","","0","10.1016/j.compag.2026.111828","https://www.scopus.com/pages/publications/105036997037?origin=resultslist","National Innovation Center for Digital Fishery, Beijing, 100083, China; Key Laboratory of Smart Farming Technologies for Aquatic Animal and Livestock, Ministry of Agriculture and Rural Affairs, Beijing, 100083, China; State Key Laboratory of Efficient Utilization of Agricultural Water Resources, China Agricultural University, Beijing, 100083, China; Beijing Engineering and Technology Research Center for Internet of Things in Agriculture, Beijing, 100083, China; Key Laboratory of Digital Fisheries of Shandong Province, Shandong, Yantai, 264670, China; College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China; Smart City College, Beijing Union University, Beijing, 100101, China","Wang H., National Innovation Center for Digital Fishery, Beijing, 100083, China, Key Laboratory of Smart Farming Technologies for Aquatic Animal and Livestock, Ministry of Agriculture and Rural Affairs, Beijing, 100083, China, State Key Laboratory of Efficient Utilization of Agricultural Water Resources, China Agricultural University, Beijing, 100083, China, Beijing Engineering and Technology Research Center for Internet of Things in Agriculture, Beijing, 100083, China, Key Laboratory of Digital Fisheries of Shandong Province, Shandong, Yantai, 264670, China, College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China; Zhao J., National Innovation Center for Digital Fishery, Beijing, 100083, China, College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China; Zhang S., National Innovation Center for Digital Fishery, Beijing, 100083, China, College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China; Yao M., National Innovation Center for Digital Fishery, Beijing, 100083, China, College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China; Xue L., Smart City College, Beijing Union University, Beijing, 100101, China; Li D., National Innovation Center for Digital Fishery, Beijing, 100083, China, Key Laboratory of Smart Farming Technologies for Aquatic Animal and Livestock, Ministry of Agriculture and Rural Affairs, Beijing, 100083, China, State Key Laboratory of Efficient Utilization of Agricultural Water Resources, China Agricultural University, Beijing, 100083, China, Beijing Engineering and Technology Research Center for Internet of Things in Agriculture, Beijing, 100083, China, Key Laboratory of Digital Fisheries of Shandong Province, Shandong, Yantai, 264670, China, College of Information and Electrical Engineering, China Agricultural University, Beijing, 100083, China","H. Wang; National Innovation Center for Digital Fishery, Beijing, 100083, China; email: wang_haihua@163.com","","Elsevier B.V.","01681699","","CEAGE","","English","Comput. Electron. Agric.","Review","Final","","Scopus","2-s2.0-105036997037"
