"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Harmiansyah; Sembiring E.P.; Oviana E.T.; Supriyanto","Harmiansyah (58487516100); Sembiring, E.P. (59410562500); Oviana, E.T. (59306189400); Supriyanto (57190128799)","58487516100; 59410562500; 59306189400; 57190128799","Detection of new oil palm fruit bunches based on deep learning","2024","IOP Conference Series: Earth and Environmental Science","1379","1","012003","","","2","10.1088/1755-1315/1379/1/012003","https://www.scopus.com/pages/publications/85202621532?origin=resultslist","Biosystems Engineering, Sumatera Institute of Technology (ITERA), South Lampung, Indonesia; Agricultural and Biosystem Engineering, IPB University, West Java, Bogor, Indonesia","Harmiansyah, Biosystems Engineering, Sumatera Institute of Technology (ITERA), South Lampung, Indonesia; Sembiring E.P., Biosystems Engineering, Sumatera Institute of Technology (ITERA), South Lampung, Indonesia; Oviana E.T., Biosystems Engineering, Sumatera Institute of Technology (ITERA), South Lampung, Indonesia; Supriyanto, Agricultural and Biosystem Engineering, IPB University, West Java, Bogor, Indonesia","","","Institute of Physics","17551307","","","","English","IOP Conf. Ser. Earth Environ. Sci.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85202621532"
"Kent O.W.; Chun T.W.; Choo T.L.","Kent, Ong Win (58542676600); Chun, Tan Weng (58541860900); Choo, Tay Lee (57189516107)","58542676600; 58541860900; 57189516107","Deep Learning Approach for Detection of Oil Palm Tree on UAV Images","2023","2023 IEEE International Conference on Automatic Control and Intelligent Systems, I2CACIS 2023 - Proceedings","","","","75","80","2","10.1109/I2CACIS57635.2023.10193716","https://www.scopus.com/pages/publications/85168365545?origin=resultslist","Tunku Abdul Rahman University College, Department of Mechanical Engineering, Kuala Lumpur, Malaysia; Tunku Abdul Rahman University College, Department of Electrical and Electronics Engineering, Kuala Lumpur, Malaysia","Kent O.W., Tunku Abdul Rahman University College, Department of Mechanical Engineering, Kuala Lumpur, Malaysia; Chun T.W., Tunku Abdul Rahman University College, Department of Mechanical Engineering, Kuala Lumpur, Malaysia; Choo T.L., Tunku Abdul Rahman University College, Department of Electrical and Electronics Engineering, Kuala Lumpur, Malaysia","","","Institute of Electrical and Electronics Engineers Inc.","","979-835032130-2","","","English","IEEE Int. Conf. Autom. Control Intell. Syst., I2CACIS - Proc.","Conference paper","Final","","Scopus","2-s2.0-85168365545"
"Fajar M.M.; Natalie D.; Sales B.P.G.; Sihotang E.F.A.; Irwansyah E.","Fajar, Mohamad Malik (59912136200); Natalie, Delicia (59911878300); Sales, Benson Philipp Gou (59911878400); Sihotang, Erna Fransisca Angela (57952582600); Irwansyah, Edy (55669431700)","59912136200; 59911878300; 59911878400; 57952582600; 55669431700","Deep Learning Classification Model for Oil Palm Tree Health Assessment","2024","IEEE Asia-Pacific Conference on Geoscience, Electronics and Remote Sensing Technology, AGERS","","2024","","32","37","2","10.1109/AGERS65212.2024.10932959","https://www.scopus.com/pages/publications/105005944255?origin=resultslist","School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; School of Computer Science, Bina Nusantara University, Statistics Department, Jakarta, Indonesia; School of Computer Science, Bina Nusantara University, Computer Science Department, Jakarta, Indonesia","Fajar M.M., School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Natalie D., School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Sales B.P.G., School of Computer Science, Bina Nusantara University, Jakarta, Indonesia; Sihotang E.F.A., School of Computer Science, Bina Nusantara University, Statistics Department, Jakarta, Indonesia; Irwansyah E., School of Computer Science, Bina Nusantara University, Computer Science Department, Jakarta, Indonesia","","","Institute of Electrical and Electronics Engineers Inc.","27716619","","","","English","IEEE Asia-Pacific Conf. Geosci., Electron. Remote Sens. Technol., AGERS","Conference paper","Final","","Scopus","2-s2.0-105005944255"
"Cui H.; Li J.; Hua Z.; Fan L.","Cui, Hengshuai (57553370300); Li, Jinjiang (25638923500); Hua, Zhen (7101891559); Fan, Linwei (57200248389)","57553370300; 25638923500; 7101891559; 57200248389","TPET: Two-stage Perceptual Enhancement Transformer Network for Low-light Image Enhancement","2022","Engineering Applications of Artificial Intelligence","116","","105411","","","32","10.1016/j.engappai.2022.105411","https://www.scopus.com/pages/publications/85137620564?origin=resultslist","Co-Innovation Center of Shandong Colleges and Universities: Future Intelligent Computing, School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; School of Computer Science and Technology, Shandong University of Finance and Economics, Jinan, China","Cui H., Co-Innovation Center of Shandong Colleges and Universities: Future Intelligent Computing, School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; Li J., Co-Innovation Center of Shandong Colleges and Universities: Future Intelligent Computing, School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; Hua Z., Co-Innovation Center of Shandong Colleges and Universities: Future Intelligent Computing, School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; Fan L., School of Computer Science and Technology, Shandong University of Finance and Economics, Jinan, China","J. Li; Co-Innovation Center of Shandong Colleges and Universities: Future Intelligent Computing, School of Computer Science and Technology, Shandong Technology and Business University, Yantai, China; email: lijinjiang@gmail.com","","Elsevier Ltd","09521976","","EAAIE","","English","Eng Appl Artif Intell","Article","Final","","Scopus","2-s2.0-85137620564"
"Nordin M.E.; Misro M.Y.","Nordin, Mohamad Ekram (58704370000); Misro, Md Yushalify (57194782898)","58704370000; 57194782898","A Systematic Literature Review of Palm Oil Maturity Detection via Deep Learning Approaches; [Sorotan Kajian Sistematik Berkenaan Pengesanan Kematangan Kelapa Sawit Melalui Pendekatan Pembelajaran Mendalam]","2026","Asia-Pacific Journal of Information Technology and Multimedia","15","1","","251","261","0","10.17576/apjitm-2026-1501-15","https://www.scopus.com/pages/publications/105043212270?origin=resultslist","School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia","Nordin M.E., School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia; Misro M.Y., School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia","M.Y. Misro; School of Mathematical Sciences, Universiti Sains Malaysia, Pulau Pinang, 11800, Malaysia; email: yushalify@usm.my","","Penerbit Universiti Kebangsaan Malaysia","22892192","","","","English","Asia. Pac. J. Inf. Technol. Multimed.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105043212270"
"Pratama Y.; Idris M.Y.; Rasywir E.; Toscany A.N.; Saputra C.; Bustami M.I.","Pratama, Yovi (57206722883); Idris, Mohd. Yazid (57194202577); Rasywir, Errissya (57206726967); Toscany, Afrizal Nehemia (60038821000); Saputra, Chindra (60580820100); Bustami, M Irwan (60038961900)","57206722883; 57194202577; 57206726967; 60038821000; 60580820100; 60038961900","Task-Aligned Pipeline for UAV-Based Palm Tree Age Estimation Using YOLOv8, CNN Embedding, and Regression Models","2025","2025 International Conference on Artificial Intelligence and Technological Solutions: For Good Health, Well-Being, and Sustainable Water Management in Support of SDGs 3, 6, and 9, ICAITech 2025 - Proceeding","","","","161","166","0","10.1109/ICAITech66481.2025.11387285","https://www.scopus.com/pages/publications/105035745730?origin=resultslist","Universiti Teknology Malaysia, Faculty of Computing, Johor Bahru, Malaysia; Institute of Human Centered Engineering (IHumEn), Universiti Teknologi Malaysia, Media and Game Centre of Excellence (MaGICX), Johor, Malaysia; Dinamika Bangsa University, Faculty of Computer Science, Jambi, Indonesia","Pratama Y., Universiti Teknology Malaysia, Faculty of Computing, Johor Bahru, Malaysia; Idris M.Y., Institute of Human Centered Engineering (IHumEn), Universiti Teknologi Malaysia, Media and Game Centre of Excellence (MaGICX), Johor, Malaysia; Rasywir E., Dinamika Bangsa University, Faculty of Computer Science, Jambi, Indonesia; Toscany A.N., Universiti Teknology Malaysia, Faculty of Computing, Johor Bahru, Malaysia; Saputra C., Dinamika Bangsa University, Faculty of Computer Science, Jambi, Indonesia; Bustami M.I., Dinamika Bangsa University, Faculty of Computer Science, Jambi, Indonesia","Y. Pratama; Universiti Teknology Malaysia, Faculty of Computing, Johor Bahru, Malaysia; email: yovi.pratama@gmail.com","","Institute of Electrical and Electronics Engineers Inc.","","979-833159856-3","","","English","Int. Conf. Artif. Intell. Technol. Solut.: For Good Health, Well-Being, Sustain. Water Manag. Support SDGs 3, 6, 9, ICAITech - Proceeding","Conference paper","Final","","Scopus","2-s2.0-105035745730"
"Nuthammachot N.; Stratoulias D.","Nuthammachot, Narissara (57204889352); Stratoulias, Dimitris (56270527600)","57204889352; 56270527600","EXPLORING SENTINEL-2 SATELLITE IMAGERY-BASED VEGETATION INDICES FOR CLASSIFYING HEALTHY AND DISEASED OIL PALM TREES","2023","Journal of Oil Palm Research","35","3","","517","527","7","10.21894/jopr.2022.0068","https://www.scopus.com/pages/publications/85172914163?origin=resultslist","Faculty of Environmental Management, Prince of Songkla University, Hatyai, Songkhla, 90110, Thailand; Asian Disaster Preparedness Center, 24th Floor, SM Tower, 979/69-70 Paholyothin Road, Phyathai, Bangkok, 10400, Thailand","Nuthammachot N., Faculty of Environmental Management, Prince of Songkla University, Hatyai, Songkhla, 90110, Thailand; Stratoulias D., Asian Disaster Preparedness Center, 24th Floor, SM Tower, 979/69-70 Paholyothin Road, Phyathai, Bangkok, 10400, Thailand","N. Nuthammachot; Faculty of Environmental Management, Prince of Songkla University, Songkhla, Hatyai, 90110, Thailand; email: narissara.n@psu.ac.th","","Lembaga Minyak Sawit Malaysia","15112780","","","","English","J. Oil Palm Res.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85172914163"
"Deuri M.; Mihu I.; Manchey S.; Wangpan T.; Borah H.; Dutta R.; Tangjang S.","Deuri, Mundeep (57819322800); Mihu, Inda (57414770700); Manchey, Silikta (60129195900); Wangpan, Tonlong (55326681500); Borah, Homen (60129777200); Dutta, Ranjit (60129316100); Tangjang, Sumpam (36622610900)","57819322800; 57414770700; 60129195900; 55326681500; 60129777200; 60129316100; 36622610900","Status of Tree Species Diversity and Woody Biomass Carbon Stock Across Traditional Agroforestry Systems in Eastern Himalaya, India","2025","Small-scale Forestry","24","4","","425","448","1","10.1007/s11842-025-09601-w","https://www.scopus.com/pages/publications/105018016472?origin=resultslist","Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India; Department of Botany, Madhabdev University, Assam, Narayanpur, 784164, India","Deuri M., Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India; Mihu I., Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India; Manchey S., Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India; Wangpan T., Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India; Borah H., Department of Botany, Madhabdev University, Assam, Narayanpur, 784164, India; Dutta R., Department of Botany, Madhabdev University, Assam, Narayanpur, 784164, India; Tangjang S., Department of Botany, Rajiv Gandhi University, Rono Hills, Doimukh, 791 112, India","S. Tangjang; Department of Botany, Rajiv Gandhi University, Doimukh, Rono Hills, 791 112, India; email: sumpam.tangjang@rgu.ac.in","","Springer Science and Business Media B.V.","18737617","","","","English","Small-scale For.","Article","Final","","Scopus","2-s2.0-105018016472"
"Thapa A.; Horanont T.; Neupane B.; Klaylee J.; Witayangkurn A.","Thapa, Aakash (57921030700); Horanont, Teerayut (36598530800); Neupane, Bipul (57211349306); Klaylee, Jirawan (57208795469); Witayangkurn, Apichon (26430214700)","57921030700; 36598530800; 57211349306; 57208795469; 26430214700","Classification of oil palm tree conditions from UAV imagery using the YOLO object detector","2025","Big Earth Data","9","4","","860","886","7","10.1080/20964471.2025.2491881","https://www.scopus.com/pages/publications/105004361820?origin=resultslist","Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Department of Infrastructure Engineering, The University of Melbourne, Melbourne, Australia; Faculty of Architecture and Planning, Thammasat University, Pathumthani, Thailand","Thapa A., Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Horanont T., Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand; Neupane B., Department of Infrastructure Engineering, The University of Melbourne, Melbourne, Australia; Klaylee J., Faculty of Architecture and Planning, Thammasat University, Pathumthani, Thailand; Witayangkurn A., Sirindhorn International Institute of Technology, Thammasat University, Pathum Thani, Thailand","T. Horanont; Sirindhorn International Institute of Technology, Thammasat University, Pathumthani, 131 Moo 5, Tiwanont Road, Bangkadi, Mueang Pathumthani, 12000, Thailand; email: teerayut@siit.tu.ac.th","","Taylor and Francis Ltd.","20964471","","","","English","Big Earth Data","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105004361820"
"Mimboro P.; Soewito B.; Soeparno H.; Budiharto W.","Mimboro, Prasetyo (57451281100); Soewito, Benfano (24473788700); Soeparno, Haryono (55792439300); Budiharto, Widodo (36069151100)","57451281100; 24473788700; 55792439300; 36069151100","Prediction of Oil Palm Conditions Using Deep Learning Based on the Visible Atmospherically Resistant Index on UAV Imagery","2023","INCITEST 2023 - Proceedings of the 2023 International Conference on Informatics Engineering, Science and Technology","","","","","","1","10.1109/INCITEST59455.2023.10396901","https://www.scopus.com/pages/publications/85185198978?origin=resultslist","Bina Nusantara University, Binus Graduate Program, Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia; Bina Nusantara University, School of Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia","Mimboro P., Bina Nusantara University, Binus Graduate Program, Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia; Soewito B., Bina Nusantara University, School of Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia; Soeparno H., Bina Nusantara University, School of Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia; Budiharto W., Bina Nusantara University, School of Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia","P. Mimboro; Bina Nusantara University, Binus Graduate Program, Computer Science, Computer Science Departement, Jakarta, 11480, Indonesia; email: prasetyo.mimboro@binus.ac.id","","Institute of Electrical and Electronics Engineers Inc.","","979-835031786-2","","","English","INCITEST - Proc. Int. Conf. Informatics Eng., Sci. Technol.","Conference paper","Final","","Scopus","2-s2.0-85185198978"
